Rev_Total,Bal_Total,Offer,AGE,CHQ,CARD,SAV1,LOAN,MORT,INSUR,PENS,Check,AccountAge
$0.20 ,$9 ,0,40,1,0,0,0,0,1,1,0,2
$1.71 ,"$30,000 ",0,42,1,0,0,0,1,0,1,1,9
$12.91 ,"$91,092 ",0,63,0,0,0,0,1,0,1,1,5
$0.52 ,$85 ,0,56,1,0,0,0,0,1,0,0,12
$0.05 ,$9 ,0,50,1,0,0,0,0,1,1,0,3
$2.44 ,"$4,098 ",0,29,1,0,0,1,0,1,1,0,2
$7.76 ,"$112,000 ",0,30,1,0,0,0,1,0,0,1,4
$6.78 ,"$15,219 ",0,32,1,0,0,1,0,0,0,0,5
$2.52 ,"$1,679 ",0,29,0,0,0,1,0,0,1,0,3
$0.87 ,$623 ,0,42,1,1,1,1,0,1,1,1,6
$0.63 ,$138 ,0,37,1,0,0,0,0,1,1,0,7
$0.69 ,$156 ,1,37,1,0,1,0,0,1,1,0,5
$1.17 ,"$1,500 ",0,37,1,0,0,1,1,0,1,0,7
$3.43 ,"$2,111 ",0,44,0,0,0,1,0,0,1,0,3
$1.47 ,$187 ,0,36,1,0,0,0,0,1,1,0,6
$0.37 ,$5 ,0,44,0,0,0,0,0,1,0,0,1
$0.64 ,$72 ,0,36,1,0,0,0,0,1,0,0,2
$0.57 ,$11 ,1,42,1,0,0,0,0,1,1,0,2
$5.44 ,"$3,325 ",0,45,0,0,0,1,0,0,1,0,8
$2.33 ,"$9,495 ",0,57,1,0,0,1,0,1,1,0,7
$0.05 ,$1 ,0,62,0,0,1,0,0,1,1,0,2
$0.01 ,$1 ,0,50,1,1,0,0,1,0,1,1,9
$0.51 ,"$9,700 ",0,56,0,0,0,0,1,0,1,1,7
$1.17 ,"$16,500 ",0,62,1,0,0,0,1,0,0,1,0
$5.68 ,"$35,000 ",0,58,1,0,0,0,1,0,0,1,4
$8.95 ,"$43,176 ",0,53,0,0,0,1,1,0,1,1,5
$0.12 ,$150 ,0,64,1,0,1,0,1,1,0,0,4
$0.51 ,$166 ,0,48,1,0,1,0,0,1,1,0,0
$1.10 ,"$6,325 ",0,47,1,0,0,1,0,0,1,0,8
$1.35 ,"$5,868 ",0,46,1,0,1,1,0,1,1,0,6
$0.01 ,$0 ,0,57,1,0,0,0,0,1,1,0,5
$2.37 ,"$39,500 ",0,77,1,0,1,0,1,0,1,1,1
$1.13 ,"$5,000 ",0,69,1,0,0,0,1,0,1,1,8
$0.16 ,$11 ,0,68,1,0,1,0,0,1,0,0,7
$0.72 ,"$20,000 ",0,76,0,0,1,0,1,0,1,1,6
$0.33 ,$134 ,0,56,1,0,0,0,0,1,0,0,7
$1.09 ,"$1,209 ",0,56,1,0,1,1,0,1,0,0,7
$4.77 ,"$16,454 ",0,62,1,0,0,1,1,0,0,1,9
$0.12 ,$2 ,1,25,1,0,1,0,0,1,1,0,4
$0.50 ,$30 ,0,33,0,0,0,0,0,1,1,0,5
$2.00 ,$504 ,0,33,1,0,1,1,0,1,1,0,6
$0.37 ,"$1,655 ",0,29,0,0,0,1,0,0,1,0,0
$0.25 ,$8 ,0,60,1,0,0,0,0,1,1,0,3
$0.40 ,$20 ,1,35,1,0,0,0,0,1,1,0,5
$5.15 ,"$46,000 ",0,33,0,0,0,0,1,0,0,1,8
$0.20 ,$8 ,1,37,1,0,0,0,0,1,0,0,8
$1.04 ,$98 ,1,24,1,0,0,0,0,1,1,0,9
$1.19 ,$176 ,0,35,1,1,0,0,0,1,0,1,9
$0.57 ,$135 ,0,35,1,0,1,0,0,1,1,0,2
$0.27 ,$20 ,0,29,1,0,0,0,0,1,1,0,6
$1.20 ,"$2,242 ",0,33,0,0,1,1,0,0,1,0,1
$0.07 ,$2 ,1,33,1,0,1,0,0,1,1,0,16
$2.75 ,"$10,186 ",0,33,1,0,1,1,0,0,1,0,9
$0.79 ,"$1,094 ",0,30,1,0,0,0,1,1,1,0,5
$1.16 ,"$39,522 ",0,31,1,0,0,0,1,0,0,1,6
$3.04 ,"$29,233 ",0,35,1,0,0,0,1,0,1,1,6
$2.13 ,"$25,200 ",1,29,1,0,0,0,1,0,0,1,0
$3.15 ,"$45,287 ",0,29,1,0,0,0,1,0,0,1,4
$0.40 ,"$12,000 ",0,35,1,0,1,0,1,0,0,1,7
$3.04 ,"$2,897 ",0,26,1,0,0,1,0,0,0,0,1
$0.51 ,$41 ,0,30,1,0,1,0,0,1,0,0,9
$0.72 ,"$1,212 ",0,32,1,0,0,1,0,0,1,0,6
$7.21 ,"$47,500 ",0,31,1,0,0,0,1,0,0,1,4
$2.15 ,"$25,000 ",0,29,1,0,0,0,1,0,0,1,1
$4.80 ,"$150,000 ",1,32,1,0,0,0,1,0,1,1,4
$1.23 ,$40 ,0,42,1,0,0,0,0,1,1,0,3
$2.08 ,$170 ,0,44,1,0,0,0,0,1,1,0,5
$2.96 ,"$48,025 ",0,43,1,0,1,0,1,0,0,1,8
$0.02 ,$1 ,0,44,1,1,0,0,0,0,0,1,3
$1.95 ,"$33,512 ",0,45,0,0,0,0,1,0,0,1,5
$1.47 ,"$21,500 ",0,40,1,0,0,0,1,0,0,1,0
$3.18 ,"$28,000 ",0,37,0,0,0,0,1,0,1,1,3
$7.05 ,"$44,000 ",0,44,1,0,0,0,1,0,1,1,8
$1.64 ,"$45,000 ",0,43,0,0,1,0,1,0,0,1,5
$0.64 ,"$17,200 ",1,43,1,0,0,0,1,0,1,1,4
$1.02 ,"$12,948 ",0,36,1,0,0,0,1,0,1,1,6
$0.98 ,$303 ,0,40,1,0,0,0,0,1,1,0,6
$1.98 ,"$34,097 ",0,36,0,0,0,0,1,0,1,1,6
$0.99 ,"$35,602 ",0,36,1,0,0,0,1,0,0,1,5
$4.33 ,"$1,171 ",0,43,1,0,1,1,0,1,0,0,5
$12.66 ,$519 ,0,37,1,0,0,0,0,1,0,0,0
$0.56 ,"$23,880 ",0,49,1,0,0,0,1,1,0,1,10
$0.48 ,"$16,000 ",0,51,1,0,0,0,1,0,0,1,7
$0.95 ,"$52,220 ",1,54,0,0,1,0,1,0,0,1,4
$0.87 ,"$23,800 ",0,63,0,0,1,0,1,0,0,1,2
$0.11 ,$10 ,0,60,1,0,1,0,0,1,0,0,11
$0.39 ,$40 ,1,55,1,0,0,0,0,1,1,0,8
$0.56 ,"$3,000 ",0,60,0,0,1,0,0,1,1,0,0
$5.54 ,"$66,557 ",0,51,1,0,1,0,1,0,0,1,4
$2.35 ,"$32,796 ",0,47,0,0,0,0,1,0,0,1,0
$1.69 ,"$44,550 ",0,59,1,0,0,0,1,0,1,1,0
$0.71 ,"$8,000 ",0,50,1,0,0,0,1,0,0,1,8
$1.45 ,"$12,919 ",0,61,0,0,1,0,1,0,1,1,8
$7.37 ,"$25,000 ",0,52,1,0,0,0,1,0,0,1,6
$0.91 ,"$18,088 ",0,61,1,0,1,0,1,1,1,1,10
$1.15 ,"$22,800 ",0,57,1,0,0,0,1,0,0,1,0
$4.59 ,"$2,000 ",0,58,1,0,1,0,0,1,1,0,4
$1.55 ,"$42,845 ",0,55,0,0,0,0,1,0,0,1,5
$2.16 ,"$3,042 ",0,52,1,0,0,1,0,0,0,0,5
$0.08 ,$40 ,0,50,0,0,1,0,0,1,1,0,3
$0.49 ,"$10,040 ",0,63,1,0,1,0,1,1,0,1,3
$0.74 ,"$25,246 ",0,61,1,0,1,0,1,1,0,1,9
$1.71 ,"$41,301 ",0,52,0,0,1,0,1,0,0,1,2
$15.08 ,"$40,003 ",1,49,1,0,0,0,1,1,0,1,10
$0.03 ,$7 ,0,55,0,0,1,0,0,1,0,0,11
$0.56 ,$112 ,0,57,1,0,1,0,0,1,1,0,7
$0.77 ,"$3,470 ",0,54,1,0,0,1,0,0,0,0,8
$0.47 ,"$9,000 ",0,47,1,0,0,0,1,0,1,1,8
$0.45 ,$30 ,0,56,1,1,1,0,1,1,0,1,15
$2.89 ,"$34,955 ",0,51,0,0,1,0,1,0,1,1,3
$0.42 ,"$15,410 ",0,48,1,0,1,0,1,0,1,1,4
$2.10 ,"$23,500 ",1,64,1,0,0,0,1,0,1,1,6
$0.85 ,"$40,100 ",0,49,1,0,0,0,1,0,0,1,0
$0.74 ,"$8,500 ",0,51,1,0,1,0,1,0,1,1,7
$0.75 ,"$12,000 ",0,49,0,0,1,0,1,0,0,1,4
$0.45 ,"$1,668 ",0,60,0,0,0,1,0,0,1,0,7
$6.60 ,"$1,654 ",0,65,1,0,0,1,0,0,1,0,4
$1.47 ,"$1,950 ",0,60,1,0,0,1,0,0,0,0,10
$2.07 ,$562 ,0,47,0,0,0,1,0,1,1,0,5
$0.85 ,"$1,658 ",0,25,1,0,0,1,0,0,0,0,2
$0.36 ,$153 ,0,30,1,0,0,0,0,1,1,0,1
$0.79 ,$135 ,0,29,1,0,0,0,0,1,1,0,5
$2.74 ,"$36,172 ",0,33,1,0,0,0,1,0,0,1,7
$1.54 ,"$38,000 ",0,26,1,0,0,0,1,0,1,1,4
$2.00 ,"$17,100 ",0,32,1,0,1,0,1,0,0,1,7
$1.04 ,"$11,250 ",0,35,1,0,0,0,1,0,1,1,0
$0.55 ,$138 ,0,31,1,0,0,0,0,1,1,0,6
$3.75 ,"$28,078 ",0,39,1,0,0,0,1,0,0,1,3
$1.12 ,"$27,000 ",0,40,1,0,1,0,1,0,0,1,4
$2.24 ,"$33,269 ",0,37,1,0,0,0,1,0,1,1,9
$0.37 ,"$6,000 ",0,37,0,0,0,0,1,0,0,1,7
$0.22 ,$1 ,0,38,0,0,1,0,0,1,1,0,5
$0.51 ,"$10,000 ",0,37,0,0,0,0,1,0,0,1,3
$1.53 ,"$39,000 ",0,39,0,0,0,0,1,0,0,1,4
$1.35 ,"$10,857 ",0,40,1,0,0,0,1,0,1,1,8
$2.77 ,"$36,153 ",0,40,0,0,1,0,1,1,1,1,5
$1.80 ,"$60,000 ",0,43,1,0,0,0,1,0,0,1,0
$1.09 ,"$40,000 ",0,36,1,0,0,0,1,0,0,1,7
$0.01 ,$0 ,0,64,0,1,0,0,0,0,0,1,3
$4.80 ,"$19,600 ",1,61,0,0,0,0,1,0,1,1,0
$2.47 ,"$33,859 ",0,56,1,0,1,0,1,0,0,1,5
$0.90 ,"$35,501 ",0,55,0,0,1,0,1,0,1,1,5
$0.74 ,"$13,000 ",0,63,1,0,0,0,1,0,1,1,8
$3.58 ,"$9,900 ",0,58,1,0,0,0,1,0,1,1,0
$0.42 ,"$11,050 ",0,63,1,0,0,0,1,1,0,1,12
$1.15 ,"$58,678 ",0,48,1,0,1,0,1,0,1,1,8
$3.40 ,"$3,254 ",0,48,1,0,1,0,0,1,1,0,6
$0.18 ,$36 ,0,56,0,0,1,0,0,1,1,0,3
$1.90 ,"$32,950 ",0,56,1,0,1,0,1,0,1,1,4
$1.13 ,"$33,300 ",0,54,0,0,0,0,1,0,1,1,8
$0.89 ,$30 ,0,64,1,0,0,0,0,1,0,0,4
$0.64 ,"$50,000 ",0,53,1,0,0,0,1,0,1,1,6
$0.60 ,$179 ,0,25,1,0,1,0,0,1,0,0,5
$1.99 ,"$36,006 ",0,30,1,0,0,1,1,0,1,1,3
$1.11 ,"$15,000 ",0,26,1,0,0,0,1,0,0,1,4
$0.68 ,$196 ,0,38,1,1,0,0,1,1,0,1,11
$1.54 ,$184 ,0,42,1,0,0,0,0,1,0,0,8
$1.61 ,"$55,000 ",0,37,1,0,0,0,1,0,1,1,3
$1.83 ,"$6,150 ",0,36,1,0,0,0,1,0,0,1,0
$4.36 ,"$6,239 ",0,39,1,0,0,0,0,1,1,0,4
$0.81 ,"$39,000 ",0,37,0,0,0,0,1,0,0,1,7
$0.30 ,$15 ,1,47,1,0,0,0,0,1,1,0,5
$0.29 ,$9 ,0,50,0,0,1,0,0,1,0,0,3
$3.57 ,"$18,572 ",0,58,0,0,0,0,1,0,1,1,4
$1.78 ,"$24,500 ",0,54,1,0,0,0,1,0,1,1,0
$4.43 ,"$50,278 ",1,47,1,0,1,0,1,1,1,1,6
$0.43 ,$50 ,1,50,1,0,0,0,0,1,0,0,6
$12.88 ,"$4,633 ",0,56,1,0,0,1,0,0,1,0,8
$1.55 ,$252 ,1,64,1,0,1,0,0,1,0,0,8
$0.91 ,$20 ,1,47,1,0,0,0,0,1,1,0,5
$3.05 ,"$12,002 ",0,50,1,0,1,0,1,1,1,1,8
$0.05 ,$0 ,0,21,0,0,1,0,0,1,1,0,2
$2.20 ,"$2,802 ",0,25,1,0,0,1,0,0,0,0,5
$0.46 ,$4 ,0,29,1,0,0,0,0,1,0,0,12
$0.22 ,$20 ,0,28,1,0,0,0,0,1,1,0,10
$0.03 ,$3 ,0,28,0,0,1,0,0,1,1,0,2
$1.66 ,"$51,000 ",0,34,1,0,0,0,1,0,1,1,7
$0.63 ,$41 ,0,34,1,0,0,0,0,1,0,0,6
$1.52 ,"$16,524 ",0,34,1,0,0,0,1,0,0,1,6
$0.58 ,"$7,500 ",0,34,0,0,0,0,1,0,0,1,6
$1.05 ,"$30,000 ",0,33,1,0,0,0,1,0,0,1,1
$2.13 ,"$56,911 ",0,34,1,0,1,0,1,0,1,1,8
$0.58 ,"$25,345 ",0,35,1,0,0,0,1,0,0,1,7
$0.71 ,$115 ,0,34,1,0,0,0,0,1,1,0,5
$1.73 ,"$28,000 ",0,30,1,0,0,0,1,0,1,1,9
$0.53 ,$121 ,0,28,1,0,1,0,0,1,1,0,6
$1.38 ,$153 ,0,28,1,0,0,0,0,1,1,0,0
$5.44 ,"$5,319 ",0,35,1,0,0,1,0,0,0,0,8
$1.59 ,"$2,539 ",0,33,1,0,1,1,0,0,1,0,6
$0.39 ,"$24,500 ",0,34,1,0,0,0,1,0,0,1,5
$1.24 ,"$48,000 ",0,31,1,0,0,0,1,0,0,1,2
$0.89 ,"$29,700 ",0,32,1,0,0,0,1,0,1,1,0
$3.33 ,$551 ,0,32,1,0,0,1,0,0,1,0,4
$2.03 ,"$2,095 ",0,33,1,0,0,1,0,0,1,0,4
$0.30 ,"$1,394 ",0,43,1,0,0,1,0,0,1,0,1
$0.32 ,$5 ,0,41,1,0,0,0,0,1,1,0,7
$1.60 ,"$64,275 ",0,39,1,0,0,0,1,0,1,1,3
$2.55 ,"$26,500 ",0,44,1,0,0,0,1,0,1,1,0
$1.89 ,"$18,500 ",0,41,1,0,0,1,1,0,0,1,3
$2.61 ,"$15,000 ",0,38,0,0,0,0,1,0,0,1,8
$0.09 ,"$7,575 ",1,41,1,0,0,0,1,0,0,1,4
$0.21 ,"$29,200 ",0,37,1,0,1,1,1,0,1,1,6
$0.92 ,"$28,000 ",0,41,1,0,0,0,1,0,1,1,9
$0.43 ,"$15,056 ",0,37,1,0,0,0,1,1,1,1,9
$2.19 ,"$22,500 ",1,40,0,0,0,0,1,0,1,1,6
$5.63 ,"$27,591 ",0,44,1,0,1,0,1,1,1,1,3
$1.62 ,"$24,404 ",0,40,1,0,1,0,1,0,0,1,8
$0.18 ,$21 ,0,42,1,0,0,0,0,1,1,0,7
$8.19 ,"$5,779 ",0,42,1,0,1,1,1,0,0,0,8
$0.25 ,$100 ,0,42,0,0,1,0,0,1,0,0,11
$1.02 ,"$25,500 ",0,40,1,0,0,0,1,0,0,1,8
$2.19 ,"$16,828 ",0,40,1,0,0,0,1,1,1,1,12
$1.05 ,$555 ,0,36,1,0,0,1,0,1,0,0,3
$0.52 ,$556 ,0,38,1,0,0,1,0,0,1,0,6
$0.11 ,$30 ,0,36,1,0,0,0,0,1,1,0,5
$3.58 ,"$30,000 ",0,36,1,0,0,0,1,0,0,1,0
$1.08 ,"$23,413 ",0,37,1,0,0,0,1,0,0,1,5
$1.22 ,"$11,000 ",0,36,0,0,0,0,1,0,1,1,7
$0.63 ,"$33,000 ",1,38,0,0,0,0,1,0,1,1,8
$0.33 ,"$12,937 ",1,44,1,0,0,0,1,0,0,1,0
$2.16 ,"$43,058 ",0,45,1,0,0,0,1,1,0,1,8
$0.16 ,$4 ,1,42,0,0,0,0,0,1,1,0,16
$0.52 ,$7 ,0,42,1,0,0,0,0,1,1,0,6
$0.71 ,$40 ,0,39,1,0,0,0,1,1,0,0,10
$0.10 ,$1 ,0,41,1,0,1,0,0,1,0,0,5
$0.70 ,$200 ,0,38,1,0,1,0,0,1,1,0,10
$0.03 ,$1 ,0,46,0,1,0,0,0,0,1,1,3
$2.00 ,"$10,178 ",0,53,1,0,0,0,1,0,1,1,0
$1.30 ,"$25,000 ",0,63,0,0,1,0,1,0,0,1,4
$7.20 ,"$15,887 ",0,60,1,0,0,0,1,1,0,1,5
$3.57 ,"$18,237 ",0,47,1,0,0,1,1,0,1,1,8
$1.75 ,"$43,200 ",0,53,1,0,1,0,1,0,0,1,6
$3.70 ,"$15,400 ",0,63,0,0,1,0,1,0,1,1,4
$1.57 ,"$9,500 ",0,47,1,0,0,0,1,0,0,1,0
$0.56 ,$556 ,0,60,0,1,0,1,0,0,0,1,5
$3.43 ,"$11,483 ",0,47,1,0,0,1,0,0,1,0,5
$1.35 ,$689 ,0,49,1,1,1,1,0,1,1,1,9
$1.73 ,$559 ,0,51,1,0,0,1,0,0,1,0,2
$0.26 ,$4 ,0,64,0,0,1,0,0,1,0,0,5
$2.50 ,"$40,868 ",0,50,1,0,0,0,1,0,0,1,7
$1.15 ,"$15,000 ",0,56,1,0,0,0,1,0,0,1,8
$0.95 ,"$28,938 ",0,61,1,0,1,0,1,0,1,1,7
$8.71 ,"$30,013 ",0,54,0,0,0,0,1,0,0,1,4
$3.26 ,"$34,725 ",0,49,0,0,0,0,1,0,0,1,6
$2.96 ,"$34,500 ",0,58,0,0,0,0,1,0,1,1,4
$1.13 ,"$4,500 ",0,53,1,0,0,0,1,0,0,1,7
$3.35 ,"$11,029 ",0,53,1,1,0,1,1,1,1,1,13
$0.71 ,"$11,040 ",0,46,1,0,1,0,1,1,1,1,7
$0.31 ,"$29,934 ",0,55,0,0,0,0,1,0,1,1,4
$2.10 ,"$19,975 ",0,58,0,0,0,0,1,0,1,1,4
$0.61 ,"$11,621 ",1,49,1,0,0,0,1,0,1,1,11
$1.25 ,"$23,000 ",1,58,0,0,0,0,1,0,1,1,5
$0.82 ,"$27,632 ",0,50,0,0,0,0,1,0,0,1,9
$2.18 ,"$5,131 ",0,47,1,0,0,0,0,1,1,0,5
$1.72 ,"$4,500 ",0,48,1,0,0,0,1,1,1,1,6
$0.77 ,"$58,180 ",0,64,1,0,1,0,1,1,0,1,7
$2.77 ,"$42,168 ",0,52,1,0,1,0,1,0,1,1,3
$1.15 ,"$52,717 ",1,61,0,0,0,0,1,0,0,1,6
$3.27 ,"$8,443 ",0,47,1,1,0,1,1,1,1,1,14
$0.49 ,$8 ,1,49,1,0,1,0,0,1,0,0,8
$2.17 ,"$20,000 ",0,59,1,0,1,0,1,0,0,1,5
$2.39 ,"$7,000 ",0,65,1,0,1,0,1,1,0,1,3
$3.02 ,"$30,000 ",0,53,1,0,0,0,1,0,0,1,3
$0.38 ,$53 ,0,54,1,0,1,0,0,1,1,0,6
$0.05 ,$20 ,0,57,1,0,1,0,0,1,1,0,14
$0.14 ,$21 ,1,48,0,0,0,0,0,1,0,0,8
$0.18 ,$60 ,0,59,1,0,0,0,0,1,0,0,10
$4.44 ,"$16,850 ",0,61,0,0,1,0,1,0,0,1,4
$1.41 ,"$10,020 ",0,51,1,0,1,0,1,1,0,1,9
$1.36 ,"$23,500 ",0,56,0,0,1,0,1,0,0,1,9
$0.75 ,$384 ,0,49,1,0,1,0,0,1,1,0,7
$0.13 ,$2 ,0,52,0,0,0,0,0,1,0,0,9
$4.38 ,$213 ,0,60,0,0,1,0,0,1,1,0,2
$2.58 ,"$11,922 ",0,47,1,0,0,1,1,0,1,1,5
$2.55 ,"$20,500 ",0,60,0,0,0,0,1,0,1,1,7
$0.47 ,"$42,000 ",0,61,0,0,0,0,1,0,0,1,8
$0.68 ,"$26,900 ",0,51,0,0,0,0,1,0,0,1,5
$1.33 ,"$22,500 ",0,48,0,0,0,0,1,0,1,1,3
$2.28 ,"$40,002 ",0,50,1,0,0,0,1,0,1,1,6
$2.18 ,"$17,700 ",1,58,1,0,0,0,1,0,1,1,0
$0.46 ,"$8,715 ",1,61,0,0,1,0,1,0,1,1,2
$4.85 ,"$8,475 ",0,58,1,0,0,0,1,0,1,1,9
$0.74 ,"$35,000 ",0,58,1,0,0,0,1,0,0,1,1
$3.61 ,"$4,707 ",1,48,1,0,0,1,0,0,0,0,6
$15.90 ,"$50,693 ",0,61,0,0,0,0,1,0,0,1,6
